SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
10,0,0,0,United States,331449520,331511512,332031554,333287557
20,1,0,0,Northeast Region,57609156,57448898,57259257,57040406
30,1,1,0,New England,15116206,15074473,15121745,15129548
30,1,2,0,Middle Atlantic,42492950,42374425,42137512,41910858
20,2,0,0,Midwest Region,68985537,68961043,68836505,68787595
30,2,3,0,East North Central,47368637,47338744,47181948,47097779
30,2,4,0,West North Central,21616900,21622299,21654557,21689816
20,3,0,0,South Region,126266262,126450613,127346029,128716192
30,3,5,0,South Atlantic,66089861,66164801,66666348,67452940
30,3,6,0,East South Central,19402323,19422567,19474372,19578002
30,3,7,0,West South Central,40774078,40863245,41205309,41685250
20,4,0,0,West Region,78588565,78650958,78589763,78743364
30,4,8,0,Mountain,24919131,24996513,25268390,25514320
30,4,9,0,Pacific,53669434,53654445,53321373,53229044
40,3,6,1,Alabama,5024356,5031362,5049846,5074296
40,4,9,2,Alaska,733378,732923,734182,733583
40,4,8,4,Arizona,7151507,7179943,7264877,7359197
40,3,7,5,Arkansas,3011555,3014195,3028122,3045637
40,4,9,6,California,39538245,39501653,39142991,39029342
40,4,8,8,Colorado,5773733,5784865,5811297,5839926
40,1,1,9,Connecticut,3605942,3597362,3623355,3626205
40,3,5,10,Delaware,989957,992114,1004807,1018396
40,3,5,11,District of Columbia,689546,670868,668791,671803
40,3,5,12,Florida,21538226,21589602,21828069,22244823
40,3,5,13,Georgia,10711937,10729828,10788029,10912876
40,4,9,15,Hawaii,1455273,1451043,1447154,1440196
40,4,8,16,Idaho,1839092,1849202,1904314,1939033
40,2,3,17,Illinois,12812545,12786580,12686469,12582032
40,2,3,18,Indiana,6785668,6788799,6813532,6833037
40,2,4,19,Iowa,3190372,3190571,3197689,3200517
40,2,4,20,Kansas,2937847,2937919,2937922,2937150
40,3,6,21,Kentucky,4505893,4507445,4506589,4512310
40,3,7,22,Louisiana,4657749,4651664,4627098,4590241
40,1,1,23,Maine,1362341,1363557,1377238,1385340
40,3,5,24,Maryland,6177213,6173205,6174610,6164660
40,1,1,25,Massachusetts,7029949,6995729,6989690,6981974
40,2,3,26,Michigan,10077325,10069577,10037504,10034113
40,2,4,27,Minnesota,5706504,5709852,5711471,5717184
40,3,6,28,Mississippi,2961288,2958141,2949586,2940057
40,2,4,29,Missouri,6154920,6153998,6169823,6177957
40,4,8,30,Montana,1084197,1087075,1106227,1122867
40,2,4,31,Nebraska,1961489,1962642,1963554,1967923
40,4,8,32,Nevada,3104624,3115648,3146402,3177772
40,1,1,33,New Hampshire,1377518,1378587,1387505,1395231
40,1,2,34,New Jersey,9289031,9271689,9267961,9261699
40,4,8,35,New Mexico,2117527,2118390,2116677,2113344
40,1,2,36,New York,20201230,20108296,19857492,19677151
40,3,5,37,North Carolina,10439414,10449445,10565885,10698973
40,2,4,38,North Dakota,779091,779518,777934,779261
40,2,3,39,Ohio,11799374,11797517,11764342,11756058
40,3,7,40,Oklahoma,3959346,3964912,3991225,4019800
40,4,9,41,Oregon,4237291,4244795,4256301,4240137
40,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008
40,1,1,44,Rhode Island,1097371,1096345,1096985,1093734
40,3,5,45,South Carolina,5118429,5131848,5193266,5282634
40,2,4,46,South Dakota,886677,887799,896164,909824
40,3,6,47,Tennessee,6910786,6925619,6968351,7051339
40,3,7,48,Texas,29145428,29232474,29558864,30029572
40,4,8,49,Utah,3271614,3283785,3339113,3380800
40,1,1,50,Vermont,643085,642893,646972,647064
40,3,5,51,Virginia,8631384,8636471,8657365,8683619
40,4,9,53,Washington,7705247,7724031,7740745,7785786
40,3,5,54,West Virginia,1793755,1791420,1785526,1775156
40,2,3,55,Wisconsin,5893725,5896271,5880101,5892539
40,4,8,56,Wyoming,576837,577605,579483,581381
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789
