LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,16 to 19,2008,Number,1410000
Nation,United States,20 to 24,2008,Number,3488000
Nation,United States,16 to 24,2008,Number,4899000
State,Alabama,16 to 19,2008,Number,26000
State,Alabama,20 to 24,2008,Number,67000
State,Alabama,16 to 24,2008,Number,93000
State,Alaska,16 to 19,2008,Number,5000
State,Alaska,20 to 24,2008,Number,9000
State,Alaska,16 to 24,2008,Number,14000
State,Arizona,16 to 19,2008,Number,38000
State,Arizona,20 to 24,2008,Number,85000
State,Arizona,16 to 24,2008,Number,123000
State,Arkansas,16 to 19,2008,Number,20000
State,Arkansas,20 to 24,2008,Number,41000
State,Arkansas,16 to 24,2008,Number,61000
State,California,16 to 19,2008,Number,187000
State,California,20 to 24,2008,Number,466000
State,California,16 to 24,2008,Number,652000
State,Colorado,16 to 19,2008,Number,20000
State,Colorado,20 to 24,2008,Number,44000
State,Colorado,16 to 24,2008,Number,65000
State,Connecticut,16 to 19,2008,Number,12000
State,Connecticut,20 to 24,2008,Number,28000
State,Connecticut,16 to 24,2008,Number,39000
State,Delaware,16 to 19,2008,Number,4000
State,Delaware,20 to 24,2008,Number,8000
State,Delaware,16 to 24,2008,Number,12000
City,District of Columbia,16 to 19,2008,Number,3000
City,District of Columbia,20 to 24,2008,Number,9000
City,District of Columbia,16 to 24,2008,Number,12000
State,Florida,16 to 19,2008,Number,91000
State,Florida,20 to 24,2008,Number,216000
State,Florida,16 to 24,2008,Number,308000
State,Georgia,16 to 19,2008,Number,63000
State,Georgia,20 to 24,2008,Number,138000
State,Georgia,16 to 24,2008,Number,200000
State,Hawaii,16 to 19,2008,Number,6000
State,Hawaii,20 to 24,2008,Number,13000
State,Hawaii,16 to 24,2008,Number,19000
State,Idaho,16 to 19,2008,Number,8000
State,Idaho,20 to 24,2008,Number,16000
State,Idaho,16 to 24,2008,Number,24000
State,Illinois,16 to 19,2008,Number,58000
State,Illinois,20 to 24,2008,Number,140000
State,Illinois,16 to 24,2008,Number,197000
State,Indiana,16 to 19,2008,Number,28000
State,Indiana,20 to 24,2008,Number,70000
State,Indiana,16 to 24,2008,Number,99000
State,Iowa,16 to 19,2008,Number,8000
State,Iowa,20 to 24,2008,Number,20000
State,Iowa,16 to 24,2008,Number,28000
State,Kansas,16 to 19,2008,Number,8000
State,Kansas,20 to 24,2008,Number,24000
State,Kansas,16 to 24,2008,Number,32000
State,Kentucky,16 to 19,2008,Number,24000
State,Kentucky,20 to 24,2008,Number,57000
State,Kentucky,16 to 24,2008,Number,80000
State,Louisiana,16 to 19,2008,Number,29000
State,Louisiana,20 to 24,2008,Number,69000
State,Louisiana,16 to 24,2008,Number,98000
State,Maine,16 to 19,2008,Number,5000
State,Maine,20 to 24,2008,Number,14000
State,Maine,16 to 24,2008,Number,19000
State,Maryland,16 to 19,2008,Number,28000
State,Maryland,20 to 24,2008,Number,58000
State,Maryland,16 to 24,2008,Number,86000
State,Massachusetts,16 to 19,2008,Number,20000
State,Massachusetts,20 to 24,2008,Number,58000
State,Massachusetts,16 to 24,2008,Number,78000
State,Michigan,16 to 19,2008,Number,52000
State,Michigan,20 to 24,2008,Number,113000
State,Michigan,16 to 24,2008,Number,165000
State,Minnesota,16 to 19,2008,Number,12000
State,Minnesota,20 to 24,2008,Number,40000
State,Minnesota,16 to 24,2008,Number,52000
State,Mississippi,16 to 19,2008,Number,17000
State,Mississippi,20 to 24,2008,Number,43000
State,Mississippi,16 to 24,2008,Number,61000
State,Missouri,16 to 19,2008,Number,27000
State,Missouri,20 to 24,2008,Number,63000
State,Missouri,16 to 24,2008,Number,90000
State,Montana,16 to 19,2008,Number,6000
State,Montana,20 to 24,2008,Number,9000
State,Montana,16 to 24,2008,Number,15000
State,Nebraska,16 to 19,2008,Number,4000
State,Nebraska,20 to 24,2008,Number,13000
State,Nebraska,16 to 24,2008,Number,18000
State,Nevada,16 to 19,2008,Number,15000
State,Nevada,20 to 24,2008,Number,32000
State,Nevada,16 to 24,2008,Number,47000
State,New Hampshire,16 to 19,2008,Number,3000
State,New Hampshire,20 to 24,2008,Number,9000
State,New Hampshire,16 to 24,2008,Number,12000
State,New Jersey,16 to 19,2008,Number,31000
State,New Jersey,20 to 24,2008,Number,79000
State,New Jersey,16 to 24,2008,Number,109000
State,New Mexico,16 to 19,2008,Number,12000
State,New Mexico,20 to 24,2008,Number,29000
State,New Mexico,16 to 24,2008,Number,41000
State,New York,16 to 19,2008,Number,85000
State,New York,20 to 24,2008,Number,225000
State,New York,16 to 24,2008,Number,311000
State,North Carolina,16 to 19,2008,Number,44000
State,North Carolina,20 to 24,2008,Number,106000
State,North Carolina,16 to 24,2008,Number,150000
State,North Dakota,16 to 19,2008,Number,3000
State,North Dakota,20 to 24,2008,Number,5000
State,North Dakota,16 to 24,2008,Number,7000
State,Ohio,16 to 19,2008,Number,43000
State,Ohio,20 to 24,2008,Number,126000
State,Ohio,16 to 24,2008,Number,169000
State,Oklahoma,16 to 19,2008,Number,18000
State,Oklahoma,20 to 24,2008,Number,42000
State,Oklahoma,16 to 24,2008,Number,59000
State,Oregon,16 to 19,2008,Number,19000
State,Oregon,20 to 24,2008,Number,42000
State,Oregon,16 to 24,2008,Number,61000
State,Pennsylvania,16 to 19,2008,Number,47000
State,Pennsylvania,20 to 24,2008,Number,125000
State,Pennsylvania,16 to 24,2008,Number,172000
State,Rhode Island,16 to 19,2008,Number,5000
State,Rhode Island,20 to 24,2008,Number,10000
State,Rhode Island,16 to 24,2008,Number,15000
State,South Carolina,16 to 19,2008,Number,22000
State,South Carolina,20 to 24,2008,Number,65000
State,South Carolina,16 to 24,2008,Number,87000
State,South Dakota,16 to 19,2008,Number,3000
State,South Dakota,20 to 24,2008,Number,6000
State,South Dakota,16 to 24,2008,Number,10000
State,Tennessee,16 to 19,2008,Number,32000
State,Tennessee,20 to 24,2008,Number,75000
State,Tennessee,16 to 24,2008,Number,107000
State,Texas,16 to 19,2008,Number,119000
State,Texas,20 to 24,2008,Number,329000
State,Texas,16 to 24,2008,Number,448000
State,Utah,16 to 19,2008,Number,10000
State,Utah,20 to 24,2008,Number,27000
State,Utah,16 to 24,2008,Number,38000
State,Vermont,16 to 19,2008,Number,2000
State,Vermont,20 to 24,2008,Number,5000
State,Vermont,16 to 24,2008,Number,7000
State,Virginia,16 to 19,2008,Number,29000
State,Virginia,20 to 24,2008,Number,76000
State,Virginia,16 to 24,2008,Number,105000
State,Washington,16 to 19,2008,Number,29000
State,Washington,20 to 24,2008,Number,64000
State,Washington,16 to 24,2008,Number,94000
State,West Virginia,16 to 19,2008,Number,10000
State,West Virginia,20 to 24,2008,Number,25000
State,West Virginia,16 to 24,2008,Number,35000
State,Wisconsin,16 to 19,2008,Number,17000
State,Wisconsin,20 to 24,2008,Number,49000
State,Wisconsin,16 to 24,2008,Number,66000
State,Wyoming,16 to 19,2008,Number,2000
State,Wyoming,20 to 24,2008,Number,6000
State,Wyoming,16 to 24,2008,Number,8000
Territory,Puerto Rico,16 to 19,2008,Number,36000
Territory,Puerto Rico,20 to 24,2008,Number,77000
Territory,Puerto Rico,16 to 24,2008,Number,114000
Territory,Virgin Islands,16 to 19,2008,Number,N.A.
Territory,Virgin Islands,20 to 24,2008,Number,N.A.
Territory,Virgin Islands,16 to 24,2008,Number,N.A.
Territory,Virgin Islands,16 to 24,2008,Percent,N.A.
Territory,Virgin Islands,20 to 24,2008,Percent,N.A.
Territory,Virgin Islands,16 to 19,2008,Percent,N.A.
Territory,Puerto Rico,16 to 24,2008,Percent,0.22
Territory,Puerto Rico,20 to 24,2008,Percent,0.28
Territory,Puerto Rico,16 to 19,2008,Percent,0.15
State,Wyoming,16 to 24,2008,Percent,0.12
State,Wyoming,20 to 24,2008,Percent,0.16
State,Wyoming,16 to 19,2008,Percent,0.07
State,Wisconsin,16 to 24,2008,Percent,0.09
State,Wisconsin,20 to 24,2008,Percent,0.13
