"Food Scarcity, Household Pulse Survey",,,,,,,
Adults in households where there was either sometimes or often not enough to eat in the last 7 days,,,,,,,
,,Total Food Scarcity,,Percent Food Scarcity,,,
Area,Week,Number,Margin of Error +/-,Percent,Percent Margin of Error +/-,Measure Universe,Total Population age 18+
United States,"63 - October 18 - 30, 2023","27,977,139","771,714",12.5,0.4,"223,774,703","254,966,752"
United States,"62 - September 20 - October 2, 2023","27,610,114","854,321",12.4,0.4,"222,835,559","254,966,752"
United States,"61 - August 23 - September 4, 2023","26,233,276","858,850",12.1,0.4,"217,141,781","254,966,752"
United States,"60 - July 26 - August 7, 2023","27,279,244","1,046,473",12.1,0.5,"224,985,250","254,966,752"
United States,"59 - June 28 - July 10, 2023","27,098,472","814,154",12.1,0.4,"224,035,533","254,966,752"
United States,"58 - June 7-19, 2023","26,519,880","1,157,324",11.8,0.5,"224,248,771","254,966,752"
United States,"57 - April 26 - May 8, 2023","25,405,766","1,118,455",11.3,0.5,"225,442,186","254,966,752"
United States,"56 - March 29 - April 10, 2023","24,569,220","891,653",10.9,0.4,"225,148,771","254,966,752"
United States,"55 - March 1-13, 2023","24,109,912","1,079,944",10.7,0.5,"225,324,614","254,966,752"
United States,"54 - February 4-13, 2023","25,644,482","951,908",11.4,0.4,"225,121,927","252,481,011"
United States,"53 - January 4-16, 2023","25,192,989","1,018,278",11.2,0.4,"225,624,828","252,481,011"
United States,"52 - December 9-19, 2022","25,748,339","1,057,686",11.4,0.5,"225,736,637","252,481,011"
United States,"51 - November 2-14, 2022","24,813,887","1,158,975",11,0.5,"224,878,028","252,481,011"
United States,"50 - October 5-17, 2022","25,734,272","1,258,990",11.4,0.5,"224,857,488","252,481,011"
United States,"49 - September 14-26, 2022","25,863,416","1,257,857",11.5,0.6,"224,054,627","252,481,011"
United States,"48 - July 27 - August 8, 2022","24,529,106","1,221,149",11.5,0.6,"213,161,284","252,481,011"
