Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
United States,"12 - July 16-21, 2020",44667345,1117654,26.5,0.7,168758739,"249,170,916"
United States,"11 - July 9-14, 2020",45191150,1316425,26.4,0.7,171015861,"249,170,916"
United States,"10 - July 2-7, 2020",43373346,1047257,25.3,0.6,171673536,"249,170,916"
United States,"9 - June 25-30, 2020",44454003,1240174,25.9,0.7,171615647,"249,170,916"
United States,"8 - June 18-23, 2020",41836775,1389536,24.5,0.8,170843870,"249,170,916"
United States,"7 - June 11-16, 2020",39396029,1278653,23.2,0.8,170112506,"249,170,916"
United States,"6 - June 4-9, 2020",35653814,1304982,22.1,0.8,161550746,"249,170,916"
United States,"5 - May 28-June 2, 2020",38392149,1206713,23.7,0.7,162125750,"249,170,916"
United States,"4 - May 21-26, 2020",38075649,1151355,23.6,0.6,161643468,"249,170,916"
United States,"3 - May 14-19, 2020",42113128,1475175,25.4,0.8,165892270,"249,170,916"
United States,"2 - May 7-12, 2020",43182492,1894276,24.7,1,174944737,"249,170,916"
United States,"1 - April 23-May 5, 2020",42315164,1101743,24.6,0.6,172345047,"249,170,916"
 -> States,,,,,,,--
Alabama,"12 - July 16-21, 2020",763487,116251,33.3,5,2292094,"3,717,378"
Alaska,"12 - July 16-21, 2020",79895,17916,21.7,4.6,368019,"524,925"
Arizona,"12 - July 16-21, 2020",959889,163954,25.1,3.8,3824890,"5,597,268"
Arkansas,"12 - July 16-21, 2020",390891,74808,26.7,4.9,1466396,"2,246,527"
California,"12 - July 16-21, 2020",6287946,598603,29.5,2.5,21316276,"29,939,021"
Colorado,"12 - July 16-21, 2020",673569,161871,20,4.8,3373848,"4,454,718"
Connecticut,"12 - July 16-21, 2020",465682,81544,25.4,4.3,1834959,"2,732,423"
Delaware,"12 - July 16-21, 2020",110117,21929,21.6,4.2,509710,"754,637"
