"Housing Insecurity (Missed Payment and Low Confidence), Household Pulse Survey","","","","","","",""
"Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","","","","","","",""
"","","Total Housing Insecurity (Missed Payment and Low Confidence)","","Percent Housing Insecurity (Missed Payment and Low Confidence)","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","45 - April 27 - May 9, 2022","8351764","721831","5.8","0.5","143161778","252,481,011"
"United States","44 - March 30 - April 11, 2022","7283769","480933","5.1","0.3","141512278","252,481,011"
"United States","43 - March 2-14, 2022","8815237","654597","6.2","0.5","141959944","252,481,011"
"United States","42 - January 26 - February 7, 2022","9774473","671820","6.6","0.4","146995010","250,265,449"
"United States","41 - December 29 - January 10, 2022","10545124","588820","6.8","0.4","154250521","250,265,449"
"United States","40 - December 1-13, 2021","9272770","633286","6.4","0.4","145350146","250,265,449"
"United States","39 - September 29 - October 11, 2021","9191369","675179","6.7","0.5","137777059","250,265,449"
"United States","38 - September 15-27, 2021","8216988","630265","5.9","0.5","140386345","250,265,449"
"United States","37 - September 1-13, 2021","9299188","769829","6.7","0.5","138485912","250,265,449"
"United States","36 - August 18-30, 2021","8781301","617760","6.2","0.4","142309290","250,265,449"
"United States","35 - August 4-16, 2021","8698291","667102","6.1","0.5","141706012","250,265,449"
"United States","34 - July  21 - August 2, 2021","8748093","669724","6.2","0.5","141140858","250,265,449"
"United States","33 - June 23 - July 5, 2021","8210330","489611","6.4","0.4","128197566","250,265,449"
"United States","32 - June 9-21, 2021","8070908","536930","6.2","0.4","129776225","250,265,449"
"United States","31 - May 26 - June 7, 2021","7992553","490447","6.2","0.4","129933037","250,265,449"
"United States","30 - May 12-24, 2021","7490172","576660","5.7","0.4","131012203","250,265,449"
"United States","29 - April 28 - May 10, 2021","7477877","613181","5.8","0.5","129920801","250,265,449"
"United States","28 - April 14-26, 2021","7290998","514549","5.7","0.4","128325358","250,265,449"
"United States","27 - March 17-29, 2021","8526684","681111","6.3","0.5","135293544","249,170,916"
"United States","26 - March 3-15, 2021","10055767","757121","7.4","0.5","136576103","249,170,916"
"United States","25 - February 17 - March 1, 2021","11669564","745845","8.5","0.5","137805928","249,170,916"
"United States","24 - February 3-15, 2021","11039250","665549","7.9","0.5","139549251","249,170,916"
"United States","23 - January 20 - February 1, 2021","11327465","664747","8","0.5","141866468","249,170,916"
"United States","22 - January 6-18, 2021","12139932","907965","8.9","0.6","135868792","249,170,916"
"United States","21 - December 9-21, 2020","13427969","751273","9.5","0.5","141150125","249,170,916"
"United States","20 - November 25 - December 7, 2020","12883275","811157","9.1","0.5","141718434","249,170,916"
"United States","19 - November 11-23, 2020","11146548","659828","7.9","0.5","140618219","249,170,916"
"United States","18 - October 28 - November 9, 2020","11658805","874242","8.5","0.6","137044086","249,170,916"
"United States","17 - October 14-26, 2020","9861348","550995","7","0.4","141556263","249,170,916"
"United States","16 - September 30 - October 12, 2020","9900631","484503","6.9","0.3","143389852","249,170,916"
"United States","15 - September 16-28, 2020","9847505","582907","6.8","0.4","144238233","249,170,916"
"United States","14 - September 2-14, 2020","10672074","572299","7.3","0.4","145431190","249,170,916"
"United States","13 - August 19-31, 2020","10163546","597749","7.2","0.4","142143792","249,170,916"
" -> States","","","","","","","--"
"Alabama","45 - April 27 - May 9, 2022","147872","83552","7.8","4.3","1897952","3,834,458"
"Alaska","45 - April 27 - May 9, 2022","17413","7717","5.4","2.4","322181","531,333"
"Arizona","45 - April 27 - May 9, 2022","50899","33425","1.5","1","3384078","5,637,881"
"Arkansas","45 - April 27 - May 9, 2022","73945","33362","6.2","2.8","1185762","2,271,244"
"California","45 - April 27 - May 9, 2022","1038006","277880","5.6","1.5","18668782","29,638,176"
"Colorado","45 - April 27 - May 9, 2022","44464","23393","1.6","0.9","2794896","4,512,373"
"Connecticut","45 - April 27 - May 9, 2022","93271","29921","5.7","1.9","1647881","2,788,488"
"Delaware","45 - April 27 - May 9, 2022","36367","16385","8","3.4","453337","785,346"
"District of Columbia","45 - April 27 - May 9, 2022","25959","15889","7.9","4.6","330278","490,791"
"Florida","45 - April 27 - May 9, 2022","680368","205692","7.3","2.2","9379167","17,352,741"
"Georgia","45 - April 27 - May 9, 2022","346201","126702","7.2","2.7","4785676","8,132,374"
"Hawaii","45 - April 27 - May 9, 2022","26236","18240","4","2.8","658839","1,094,635"
"Idaho","45 - April 27 - May 9, 2022","35512","14884","4","1.6","893330","1,455,895"
"Illinois","45 - April 27 - May 9, 2022","417680","128510","7.8","2.4","5380488","9,551,120"
"Indiana","45 - April 27 - May 9, 2022","167938","71010","6.2","2.6","2729545","5,083,179"
"Iowa","45 - April 27 - May 9, 2022","77603","29789","5.9","2.2","1316298","2,383,520"
"Kansas","45 - April 27 - May 9, 2022","32172","18099","2.5","1.4","1262231","2,170,473"
"Kentucky","45 - April 27 - May 9, 2022","95276","56641","5.2","3.1","1844500","3,391,961"
"Louisiana","45 - April 27 - May 9, 2022","138639","60676","9.3","3.9","1490237","3,424,716"
"Maine","45 - April 27 - May 9, 2022","25312","12576","4","2","631903","1,101,707"
"Maryland","45 - April 27 - May 9, 2022","180334","68101","6.2","2.3","2894811","4,683,783"
"Massachusetts","45 - April 27 - May 9, 2022","123583","39747","3.8","1.2","3233303","5,379,211"
"Michigan","45 - April 27 - May 9, 2022","149024","64124","3.6","1.6","4104431","7,718,744"
"Minnesota","45 - April 27 - May 9, 2022","65971","36413","2.5","1.4","2645598","4,292,622"
"Mississippi","45 - April 27 - May 9, 2022","105572","49805","10.6","4.6","999205","2,182,393"
"Missouri","45 - April 27 - May 9, 2022","141134","71425","5","2.5","2826197","4,663,878"
"Montana","45 - April 27 - May 9, 2022","19944","15560","4.1","3.1","489077","864,638"
"Nebraska","45 - April 27 - May 9, 2022","38271","14567","4.8","1.9","797381","1,444,043"
"Nevada","45 - April 27 - May 9, 2022","50341","25652","3.4","1.8","1473112","2,449,239"
"New Hampshire","45 - April 27 - May 9, 2022","43429","25744","6.3","3.7","685829","1,110,006"
"New Jersey","45 - April 27 - May 9, 2022","253527","97916","6.9","2.5","3685640","7,091,865"
"New Mexico","45 - April 27 - May 9, 2022","38432","16737","4.6","2","835517","1,614,032"
"New York","45 - April 27 - May 9, 2022","1003747","315731","11.3","3.5","8855010","14,996,492"
"North Carolina","45 - April 27 - May 9, 2022","214775","114978","5.1","2.6","4220242","8,113,018"
"North Dakota","45 - April 27 - May 9, 2022","22635","13571","7","4.1","325503","565,257"
"Ohio","45 - April 27 - May 9, 2022","297962","132236","6.1","2.6","4923856","8,912,298"
"Oklahoma","45 - April 27 - May 9, 2022","98180","47339","6.3","3","1566312","2,959,577"
"Oregon","45 - April 27 - May 9, 2022","71613","27288","3.3","1.3","2141899","3,326,922"
"Pennsylvania","45 - April 27 - May 9, 2022","350397","117405","7","2.3","5033102","9,920,164"
"Rhode Island","45 - April 27 - May 9, 2022","23631","14120","5.2","3.1","452912","850,220"
"South Carolina","45 - April 27 - May 9, 2022","110705","46687","5.1","2.1","2182537","4,024,826"
"South Dakota","45 - April 27 - May 9, 2022","18268","11647","5.2","3.3","354627","656,870"
"Tennessee","45 - April 27 - May 9, 2022","148562","48257","4.9","1.6","3020762","5,358,697"
"Texas","45 - April 27 - May 9, 2022","659628","289260","5.8","2.5","11384953","21,876,805"
"Utah","45 - April 27 - May 9, 2022","61254","29766","3.8","1.8","1605021","2,411,013"
"Vermont","45 - April 27 - May 9, 2022","6718","4131","2.3","1.4","292237","508,959"
"Virginia","45 - April 27 - May 9, 2022","188791","94318","4.8","2.4","3897672","6,566,286"
"Washington","45 - April 27 - May 9, 2022","168382","50843","4.7","1.4","3609019","5,971,227"
"West Virginia","45 - April 27 - May 9, 2022","40728","21519","6.2","3.3","655307","1,382,693"
"Wisconsin","45 - April 27 - May 9, 2022","70477","22425","2.7","0.9","2652337","4,514,873"
"Wyoming","45 - April 27 - May 9, 2022","14615","7886","5.6","3","261011","437,949"
"Alabama","44 - March 30 - April 11, 2022","147967","87769","7.2","4.2","2050949","3,834,458"
"Alaska","44 - March 30 - April 11, 2022","15274","5909","4.9","1.8","312553","531,333"
"Arizona","44 - March 30 - April 11, 2022","88786","64816","2.7","1.9","3345325","5,637,881"
"Arkansas","44 - March 30 - April 11, 2022","77956","36406","6.8","3.1","1150555","2,271,244"
"California","44 - March 30 - April 11, 2022","941121","208563","5.2","1.1","18010363","29,638,176"
"Colorado","44 - March 30 - April 11, 2022","112201","54853","3.9","1.9","2905208","4,512,373"
"Connecticut","44 - March 30 - April 11, 2022","86848","34636","5.8","2.2","1498992","2,788,488"
"Delaware","44 - March 30 - April 11, 2022","26470","9325","6","2.2","437943","785,346"
"District of Columbia","44 - March 30 - April 11, 2022","21888","10321","6.2","2.9","351521","490,791"
"Florida","44 - March 30 - April 11, 2022","622398","210576","6.8","2.3","9106578","17,352,741"
"Georgia","44 - March 30 - April 11, 2022","242836","104738","5.4","2.3","4487807","8,132,374"
"Hawaii","44 - March 30 - April 11, 2022","42522","23339","6.4","3.5","667229","1,094,635"
"Idaho","44 - March 30 - April 11, 2022","13461","7274","1.5","0.8","896266","1,455,895"
"Illinois","44 - March 30 - April 11, 2022","327512","101569","6","1.9","5499968","9,551,120"
"Indiana","44 - March 30 - April 11, 2022","190188","72567","6.9","2.6","2755109","5,083,179"
"Iowa","44 - March 30 - April 11, 2022","31232","17925","2.4","1.3","1327954","2,383,520"
"Kansas","44 - March 30 - April 11, 2022","69376","30202","5.7","2.4","1213565","2,170,473"
"Kentucky","44 - March 30 - April 11, 2022","87820","34968","4.8","1.9","1823054","3,391,961"
"Louisiana","44 - March 30 - April 11, 2022","168922","71321","10.8","4.3","1564902","3,424,716"
"Maine","44 - March 30 - April 11, 2022","22666","18672","3.5","2.9","654307","1,101,707"
"Maryland","44 - March 30 - April 11, 2022","158839","52028","5.5","1.8","2889605","4,683,783"
"Massachusetts","44 - March 30 - April 11, 2022","169621","53122","5.4","1.6","3138071","5,379,211"
