#WEEK|GEO_ID|UNITS_TOTAL|JOBLOSS_TOTAL|JOBLOSS_MOE|JOBLOSS_RATE|JOBLOSS_RT_MOE|JOBLOSS_UNIV|LFNEXT_TOTAL|LFNEXT_MOE|LFNEXT_RATE|LFNEXT_RT_MOE|LFNEXT_UNIV|FOODSCARCE_TOTAL|FOODSCARCE_MOE|FOODSCARCE_RATE|FOODSCARCE_RT_MOE|FOODSCARCE_UNIV|HLTHDLY_TOTAL|HLTHDLY_MOE|HLTHDLY_RATE|HLTHDLY_RT_MOE|HLTHDLY_UNIV|HINSEC_1_TOTAL|HINSEC_1_MOE|HINSEC_1_RATE|HINSEC_1_RT_MOE|HINSEC_1_UNIV|EDMVD_TOTAL|EDMVD_MOE|EDMVD_RATE|EDMVD_RT_MOE|EDMVD_UNIV|TELEWORK_TOTAL|TELEWORK_MOE|TELEWORK_RATE|TELEWORK_RT_MOE|TELEWORK_UNIV|HINSEC_TOTAL|HINSEC_MOE|HINSEC_RATE|HINSEC_RT_MOE|HINSEC_UNIV|EVICTFOR_TOTAL|EVICTFOR_MOE|EVICTFOR_RATE|EVICTFOR_RT_MOE|EVICTFOR_UNIV|EXPENSE_TOTAL|EXPENSE_MOE|EXPENSE_RATE|EXPENSE_RT_MOE|EXPENSE_UNIV|SECONDED_TOTAL|SECONDED_MOE|SECONDED_RATE|SECONDED_RT_MOE|SECONDED_UNIV|VACCINE_TOTAL|VACCINE_MOE|VACCINE_RATE|VACCINE_RT_MOE|VACCINE_UNIV|GETVACC_TOTAL|GETVACC_MOE|GETVACC_RATE|GETVACC_RT_MOE|GETVACC_UNIV|TELEWORK_2_TOTAL|TELEWORK_2_MOE|TELEWORK_2_RATE|TELEWORK_2_RT_MOE|TELEWORK_2_UNIV|FOODASSIS_TOTAL|FOODASSIS_MOE|FOODASSIS_RATE|FOODASSIS_RT_MOE|FOODASSIS_UNIV|CHILDCARE_TOTAL|CHILDCARE_MOE|CHILDCARE_RATE|CHILDCARE_RT_MOE|CHILDCARE_UNIV|HHTELHLTH_TOTAL|HHTELHLTH_MOE|HHTELHLTH_RATE|HHTELHLTH_RT_MOE|HHTELHLTH_UNIV|CHILDTELE_TOTAL|CHILDTELE_MOE|CHILDTELE_RATE|CHILDTELE_RT_MOE|CHILDTELE_UNIV|PLNDTRIP_TOTAL|PLNDTRIP_MOE|PLNDTRIP_RATE|PLNDTRIP_RT_MOE|PLNDTRIP_UNIV|CHILDCARE_2_TOTAL|CHILDCARE_2_MOE|CHILDCARE_2_RATE|CHILDCARE_2_RT_MOE|CHILDCARE_2_UNIV|WACTIVITY_TOTAL|WACTIVITY_MOE|WACTIVITY_RATE|WACTIVITY_RT_MOE|WACTIVITY_UNIV|FOODFORCHLD_TOTAL|FOODFORCHLD_MOE|FOODFORCHLD_RATE|FOODFORCHLD_RT_MOE|FOODFORCHLD_UNIV|ENERGYBILL_TOTAL|ENERGYBILL_MOE|ENERGYBILL_RATE|ENERGYBILL_RT_MOE|ENERGYBILL_UNIV|CTCUSE_TOTAL|CTCUSE_MOE|CTCUSE_RATE|CTCUSE_RT_MOE|CTCUSE_UNIV|CTCUSENEW_TOTAL|CTCUSENEW_MOE|CTCUSENEW_RATE|CTCUSENEW_RT_MOE|CTCUSENEW_UNIV|LONGCOVID_1_TOTAL|LONGCOVID_1_MOE|LONGCOVID_1_RATE|LONGCOVID_1_RT_MOE|LONGCOVID_1_UNIV|PRICEINCR_TOTAL|PRICEINCR_MOE|PRICEINCR_RATE|PRICEINCR_RT_MOE|PRICEINCR_UNIV|PRICEWORRY_TOTAL|PRICEWORRY_MOE|PRICEWORRY_RATE|PRICEWORRY_RT_MOE|PRICEWORRY_UNIV|GASIMPACT_TOTAL|GASIMPACT_MOE|GASIMPACT_RATE|GASIMPACT_RT_MOE|GASIMPACT_UNIV|FOODFORCHLD1_TOTAL|FOODFORCHLD1_MOE|FOODFORCHLD1_RATE|FOODFORCHLD1_RT_MOE|FOODFORCHLD1_UNIV|DISPLACED_TOTAL|DISPLACED_MOE|DISPLACED_RATE|DISPLACED_RT_MOE|DISPLACED_UNIV|DISPLACEDTIME_TOTAL|DISPLACEDTIME_MOE|DISPLACEDTIME_RATE|DISPLACEDTIME_RT_MOE|DISPLACEDTIME_UNIV|COL_START_DATE|COL_END_DATE|SURVEY_YEAR|YR_WEEK_NUM
63|0100000US|254966752|||||||||||27977139|771714|12.5|0.4|223774703||||||||||||||||||||||||||3540338|299294|30.4|2.4|11640869|93735294|1488411|40.8|0.6|229700051|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||44103023|1133732|22.6|0.6|195455224|||||||||||34478507|970901|25.6|0.7|134422118|205457656|1115629|87.5|0.3|234708130|190132213|1236422|82.3|0.4|231109357|106971345|1350865|55.4|0.6|192989022|33930752|1074218|43.2|1.1|78623938|2454529|311022|1.2|0.2|210384145|890659|215892|38.8|6.3|2295248|October 18, 2023|October 30, 2023|2023|11
63|0400000US01|3852301|||||||||||481841|77057|14.6|2.4|3300158||||||||||||||||||||||||||34934|23897|29.7|17.8|117692|1521451|119565|44.2|3.1|3438747|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||668760|94212|23.3|3.3|2869449|||||||||||650089|91808|34.1|3.8|1903649|3052515|133941|87.1|2.9|3503020|2953646|116136|85.5|2.4|3455270|1660363|124157|59.1|3.9|2810127|490442|89761|41.4|5.6|1183688|24215|20256|0.8|0.6|3117199|20600|19589|88.9|19.3|23162|October 18, 2023|October 30, 2023|2023|11
63|0400000US02|530263|||||||||||71537|14458|15.3|3.0|466044||||||||||||||||||||||||||5191|3023|39.3|20.5|13195|175977|15590|36.7|3.1|479902|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||74736|14604|18.6|3.5|402273|||||||||||74071|12626|24.8|4.3|298669|434580|15427|88.7|1.8|489902|393406|14763|81.8|2.0|481100|223770|18284|56.0|3.7|399925|44120|9607|23.5|5.0|187633|11648|7414|2.7|1.7|432117|4395|2427|37.7|29.3|11648|October 18, 2023|October 30, 2023|2023|11
63|0400000US04|5723779|||||||||||738126|105012|14.4|2.0|5110625||||||||||||||||||||||||||43640|19674|17.5|8.1|249968|2273585|164787|43.3|3.1|5249991|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1036219|131878|22.8|2.8|4537873|||||||||||842171|111341|29.1|3.6|2892988|4651593|119598|87.3|1.8|5330461|4460150|108152|84.3|1.7|5289259|2981117|154403|66.6|2.5|4479407|742491|112350|43.4|5.0|1711046|47157|36239|1.0|0.8|4804620|15210|15479|32.5|34.6|46843|October 18, 2023|October 30, 2023|2023|11
63|0400000US05|2290513|||||||||||262621|49995|13.2|2.4|1989824||||||||||||||||||||||||||33073|22325|34.8|17.6|95163|934725|73207|45.9|3.4|2035476|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||381079|57108|22.0|3.2|1735742|||||||||||364767|56175|32.7|4.6|1114699|1876605|55238|90.0|2.1|2085971|1751294|64889|85.9|2.3|2039234|988581|70941|57.6|3.8|1717193|289336|52486|37.7|5.9|766979|22063|11945|1.2|0.6|1853264|989|1169|4.5|5.6|22063|October 18, 2023|October 30, 2023|2023|11
63|0400000US06|29670532|||||||||||2929079|350506|11.4|1.4|25701645||||||||||||||||||||||||||242438|77794|20.2|6.9|1198624|10902988|710746|41.4|2.3|26328022|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||5428771|455507|25.0|2.0|21712471|||||||||||3739768|454592|21.7|2.6|17224304|24743427|488787|91.0|0.9|27198618|22037842|584383|82.8|1.7|26608826|13792459|647469|64.7|2.3|21321700|6381379|507836|66.2|3.2|9641528|347950|155072|1.5|0.7|23355648|117372|82779|38.6|19.1|304408|October 18, 2023|October 30, 2023|2023|11
63|0400000US08|4553684|||||||||||472958|92911|11.5|2.2|4106364||||||||||||||||||||||||||41907|24465|32.0|15.1|130984|1487681|130524|35.5|2.9|4193151|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||644895|92383|17.4|2.3|3714377|||||||||||646767|85279|24.7|3.0|2615899|3689265|111896|86.5|1.9|4265632|3384778|120149|80.9|1.8|4185252|1913806|96653|51.9|2.2|3688475|696769|89420|50.4|4.5|1383380|42853|37298|1.1|1.0|3881837|8467|8195|21.0|29.7|40358|October 18, 2023|October 30, 2023|2023|11
63|0400000US09|2789532|||||||||||305558|63632|12.5|2.5|2448140||||||||||||||||||||||||||49291|24003|30.4|15.3|162229|1003595|87385|40.2|3.1|2498002|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||561674|73891|26.2|3.2|2144518|||||||||||379643|59660|23.8|3.4|1592187|2186402|78764|84.9|2.8|2576671|2002155|86034|78.5|2.8|2551827|1020819|81611|48.4|3.3|2108424|326519|51586|41.1|5.9|794092|8882|6556|0.4|0.3|2310283|7232|6094|81.4|29.1|8882|October 18, 2023|October 30, 2023|2023|11
63|0400000US10|802595|||||||||||88724|20604|12.6|2.9|706861||||||||||||||||||||||||||9746|5792|25.1|13.4|38851|281267|29283|38.6|3.9|728477|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||144523|20216|22.6|3.0|638867|||||||||||117364|25354|27.7|5.5|424109|658341|22199|89.2|1.9|738074|612777|24105|83.7|2.9|731991|338910|27013|54.1|3.7|626985|74983|18288|35.8|6.9|209188|6680|6659|1.0|1.0|684460|||||6680|October 18, 2023|October 30, 2023|2023|11
63|0400000US11|514777|||||||||||31836|12688|6.7|2.7|475452||||||||||||||||||||||||||12997|9985|45.9|28.9|28292|117846|22374|24.3|4.7|484360|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||80393|15299|18.5|3.6|434303|||||||||||55374|18187|17.5|5.6|316609|392455|16499|79.4|3.0|494553|329381|17019|67.2|3.6|489849|151630|26352|35.5|5.4|427166|66652|26786|49.0|12.1|135911|5529|5942|1.2|1.3|455518|97|159|1.7|4.2|5529|October 18, 2023|October 30, 2023|2023|11
